Circuit Name, Average Runtime: Level 1, Run Times Level 1, Gate Count: Level 1, Ratio: Level 1
qft_indep_qiskit_116.qasm,0.021382333186920732,"[0.04864495899528265, 0.01451187499333173, 0.014432290976401418, 0.015026957960799336, 0.014295583008788526]",38,5.333333333333333
qft_indep_qiskit_100.qasm,0.025508149806410075,"[0.02669004100607708, 0.02613712497986853, 0.02489491703454405, 0.024772832985036075, 0.025045833026524633]",84,5.461538461538462
qft_indep_qiskit_76.qasm,0.030832633003592493,"[0.03217650001170114, 0.030189083016011864, 0.030730333004612476, 0.030408790975343436, 0.030658458010293543]",179,5.392857142857143
qft_indep_qiskit_99.qasm,0.0337874247925356,"[0.034880332998000085, 0.03346995799802244, 0.033375333994627, 0.03302570799132809, 0.0341857909807004]",273,5.5
qft_indep_qiskit_21.qasm,0.041643824812490494,"[0.04306466697016731, 0.04089470801409334, 0.04135908302851021, 0.04085383302299306, 0.042046833026688546]",435,5.492537313432836
qft_indep_qiskit_37.qasm,0.04990204978967085,"[0.05068970797583461, 0.04923699999926612, 0.04934466601116583, 0.04996849998133257, 0.05027037498075515]",626,5.26
qft_indep_qiskit_60.qasm,0.059571958391461524,"[0.06179066700860858, 0.05829412495950237, 0.0605618329718709, 0.05845491698710248, 0.05875825003022328]",841,5.229629629629629
qft_indep_qiskit_17.qasm,0.0706541497958824,"[0.07435362500837073, 0.06919829099206254, 0.07072679197881371, 0.06984900002134964, 0.0691430409788154]",1128,5.032085561497326
qft_indep_qiskit_7.qasm,0.08826254160376265,"[0.0911095830379054, 0.08676191698759794, 0.08786154200788587, 0.08803633297793567, 0.0875433330074884]",1524,5.096
qft_indep_qiskit_40.qasm,0.10068799160653726,"[0.10131191601976752, 0.0987176249618642, 0.10092979203909636, 0.10019891697447747, 0.10228170803748071]",1794,5.040404040404041
qft_indep_qiskit_56.qasm,0.19853268320439382,"[0.1285155420191586, 0.4861981659778394, 0.1251103330287151, 0.12926929199602455, 0.12357008300023153]",2306,4.98961038961039
