Circuit Name, Average Runtime: Level 3, Run Times Level 3, Gate Count: Level 3, Ratio: Level 3
qft_indep_qiskit_116.qasm,0.0624941086047329,"[0.06345729203894734, 0.06220966699765995, 0.06233483401592821, 0.06226958299521357, 0.06219916697591543]",25,5.25
qft_indep_qiskit_100.qasm,0.22786818320164456,"[0.2298133330186829, 0.2267817499814555, 0.22833829099545255, 0.22545595897827297, 0.22895158303435892]",92,6.076923076923077
qft_indep_qiskit_76.qasm,0.9631989166024141,"[1.2658547500032, 0.882430125027895, 0.8918111250386573, 0.8889668329502456, 0.8869317499920726]",200,6.6923076923076925
qft_indep_qiskit_99.qasm,0.5796259252238087,"[0.5730815830174834, 0.5719934590160847, 0.5943624580395408, 0.5723331670160405, 0.5863589590298943]",290,6.631578947368421
qft_indep_qiskit_21.qasm,0.7120670083910227,"[0.6517075420124456, 0.6519591250107624, 0.9626687499694526, 0.6474907499505207, 0.6465088750119321]",452,6.174603174603175
qft_indep_qiskit_37.qasm,2.482592207984999,"[2.420987833000254, 2.4050656659528613, 2.747809624997899, 2.405302290979307, 2.433795624994673]",702,6.389473684210526
qft_indep_qiskit_60.qasm,1.63567754982505,"[1.6254778330330737, 1.624863250006456, 1.632206208014395, 1.633960625040345, 1.66187983303098]",928,6.307086614173229
qft_indep_qiskit_17.qasm,2.2637369749951177,"[2.1903859170270152, 2.216183499956969, 2.538193707994651, 2.1906949169933796, 2.183226833003573]",1206,6.265060240963855
qft_indep_qiskit_7.qasm,2.7551681915996595,"[2.5973933750065044, 2.974832499981858, 2.6324031249969266, 2.6206490420154296, 2.9505629159975797]",1520,6.238095238095238
qft_indep_qiskit_40.qasm,2.6718251331942158,"[2.679446458001621, 2.6684120419668034, 2.6546371660078876, 2.6683884999947622, 2.6882415000000037]",1849,6.138996138996139
qft_indep_qiskit_56.qasm,4.305793975002598,"[4.22930520796217, 4.248165166005492, 4.229371917026583, 4.584482459002174, 4.23764512501657]",2283,6.179245283018868
qft_indep_qiskit_120.qasm,4.694077516614925,"[4.841954459028784, 4.47830212500412, 4.826021208020393, 4.492274625052232, 4.831835165969096]",2681,6.092592592592593
qft_indep_qiskit_95.qasm,6.19999551679939,"[5.974821999960113, 6.339823584014084, 6.010827958001755, 6.325505167013034, 6.348998875007965]",3375,6.105263157894737
qft_indep_qiskit_83.qasm,7.348815500212368,"[7.184168917010538, 7.57347145897802, 7.573651917045936, 7.215772875002585, 7.197012333024759]",3433,6.078350515463917
qft_indep_qiskit_82.qasm,7.571880199993029,"[7.723235542012844, 7.680929541995283, 7.326125082967337, 7.364171249966603, 7.764939583023079]",4541,6.10641627543036
qft_indep_qiskit_94.qasm,8.278518266801257,"[8.483009041985497, 8.016053708037362, 8.027672833995894, 8.456833833013661, 8.40902191697387]",4693,5.962908011869437
qft_indep_qiskit_57.qasm,9.42508174140239,"[9.247302624979056, 9.226478666008916, 9.26756812504027, 9.715646916010883, 9.668412374972831]",5398,6.102631578947369
qft_indep_qiskit_6.qasm,9.955255741404835,"[9.945849083014764, 10.009284583036788, 10.601552541018464, 9.596860374964308, 9.622732124989852]",6075,6.039397450753187
qft_indep_qiskit_41.qasm,11.662431474786718,"[11.68534666596679, 11.640848291979637, 11.656193541013636, 11.68758937495295, 11.642179500020575]",6800,6.165437302423604
qft_indep_qiskit_16.qasm,14.441061633196659,"[14.440848500002176, 14.404954041994642, 14.489557332999539, 14.43005704099778, 14.43989124998916]",7553,6.032588454376164
qft_indep_qiskit_61.qasm,15.486627074796706,"[15.502651832997799, 15.473508124996442, 15.766721250023693, 15.156064499984495, 15.534189665981103]",7801,6.170036764705882
qft_indep_qiskit_36.qasm,24.407501900009812,"[24.45314437500201, 24.64298558299197, 24.462043083040044, 24.247378042025957, 24.231958416989073]",7844,6.130909090909091
