Circuit Name, Average Runtime: Level 2, Run Times Level 2, Gate Count: Level 2, Ratio: Level 2
qft_indep_qiskit_116.qasm,0.018508524599019437,"[0.01865029102191329, 0.01858262502355501, 0.01845195796340704, 0.018570207990705967, 0.018287540995515883]",38,5.333333333333333
qft_indep_qiskit_100.qasm,0.029722508403938263,"[0.030167457996867597, 0.030592499999329448, 0.028935334004927427, 0.029689083981793374, 0.029228166036773473]",84,5.461538461538462
qft_indep_qiskit_76.qasm,0.03714096680050716,"[0.03806891699787229, 0.036937583005055785, 0.03716520901070908, 0.036863167013507336, 0.0366699579753913]",179,5.392857142857143
qft_indep_qiskit_99.qasm,0.042491241602692756,"[0.04358812497230247, 0.042386375018395483, 0.04208033304894343, 0.041976834007073194, 0.04242454096674919]",273,5.5
qft_indep_qiskit_21.qasm,0.05509562500519678,"[0.05444233299931511, 0.054725791967939585, 0.0551693340530619, 0.055489249993115664, 0.055651416012551636]",435,5.492537313432836
qft_indep_qiskit_37.qasm,0.06746518339496106,"[0.06818204204319045, 0.06914300000062212, 0.06532399996649474, 0.06691166700329632, 0.06776520796120167]",626,5.26
qft_indep_qiskit_60.qasm,0.14887765820603818,"[0.08361408399650827, 0.08267179102404043, 0.40940120798768476, 0.08358783303992823, 0.0851133749820292]",841,5.229629629629629
qft_indep_qiskit_17.qasm,0.1010416833916679,"[0.10458258300786838, 0.10062858299352229, 0.10135399998398498, 0.09907679195748642, 0.09956645901547745]",1134,5.064171122994653
qft_indep_qiskit_7.qasm,0.12509354141075163,"[0.12383799999952316, 0.12571983301313594, 0.1239359580213204, 0.12646258302265778, 0.12551133299712092]",1447,5.079831932773109
qft_indep_qiskit_40.qasm,0.22311118339421226,"[0.15265933400951326, 0.15676170797087252, 0.1494227089569904, 0.503601583011914, 0.15311058302177116]",1779,4.93
qft_indep_qiskit_56.qasm,0.17530180821195246,"[0.17640012496849522, 0.17242833302589133, 0.1774079580209218, 0.17668516602134332, 0.17358745902311057]",2237,5.045945945945946
qft_indep_qiskit_120.qasm,0.19215158321894704,"[0.18923000001814216, 0.1941616249969229, 0.1927245000260882, 0.19461254100315273, 0.19002925005042925]",2459,4.882775119617225
qft_indep_qiskit_95.qasm,0.2565208582091145,"[0.258376290963497, 0.2583573330193758, 0.2540900420281105, 0.2541402500355616, 0.2576403749990277]",3052,5.091816367265469
qft_indep_qiskit_83.qasm,0.29251518320525066,"[0.2929860000149347, 0.2925183330080472, 0.29484149999916553, 0.28974024998024106, 0.2924898330238648]",3529,4.93109243697479
qft_indep_qiskit_82.qasm,0.4183334917994216,"[0.3381252089748159, 0.34100070799468085, 0.3413473750115372, 0.7292230000020936, 0.34197116701398045]",4188,5.034582132564841
qft_indep_qiskit_94.qasm,0.4562685334007256,"[0.3729179169749841, 0.37939399998867884, 0.7772773330216296, 0.3762907920172438, 0.3754626250010915]",4631,4.891857506361323
qft_indep_qiskit_57.qasm,0.513714900193736,"[0.430096166965086, 0.4242104170261882, 0.8612627920228988, 0.42554399999789894, 0.4274611249566078]",5315,4.879424778761062
qft_indep_qiskit_6.qasm,0.3913970665889792,"[0.384412249957677, 0.401808416005224, 0.3967829589964822, 0.3873899999889545, 0.3865917079965584]",5810,4.916496945010183
